,province,white_wine_counts,latitude,longtitude
257,Bot River,2,-34.2254252,19.1969241
258,Rhein-Mosel,2,50.3,7.45
259,Vipavska Dolina,2,45.8869925,13.9044564
260,Galil,2,45.073821,-93.1837324
261,Connecticut,2,41.6032207,-73.087749
262,Cyprus,2,35.126413,33.429859
263,Transylvanian Plateau,2,46.5,24.5
264,Monemvasia,2,36.6876016,23.056032
265,Murfatlar Cernavoda,2,44.3114781,28.0329927
266,Mount Athos,2,40.2644928,24.2152731
267,Targovishte,2,43.2493556,26.5727357
268,Lakonia,2,37.0299087,22.5245093
269,Vinho Espumante de Qualidade,1,41.734759,-8.555886
270,Moravia,1,42.7125702,-76.4216025
271,Podunavlje,1,44.4729156,20.9901426
272,Weinviertel,1,48.3845561,16.5149128
273,Curicó and Maipo Valleys,1,-34.9779853,-71.2528803
274,Neuchâtel,1,46.9899874,6.9292732
275,Lesbos,1,39.2645095,26.2777073
276,Philadelphia,1,39.9525839,-75.1652215
277,Colinele Dobrogei,1,44.122118,28.224007
278,Terasele Dunarii,1,44.622176,22.651475
279,Viile Timis,1,45.8138902,21.3331055
280,Thrace,1,41.1295126,24.8877191
281,Ismarikos,1,40.36893,23.047291
282,Krania Olympus,1,39.954899,21.967369
283,Brazil,1,-14.235004,-51.92528
284,Madeira,1,32.7607074,-16.9594723
285,Santa Barbara County-Condrieu,1,34.4208305,-119.6981901
286,Aegean,1,30.3838481,-86.4955651
287,Macedonia,1,41.608635,21.745275
288,Dealurile Munteniei,1,45.095289,25.73272
289,Württemberg,1,49.0013609,9.5845172
290,Portugal,1,39.399872,-8.224454
291,Rose Valley,1,34.532665,-119.182359
292,Breede River Valley,1,-33.8308,18.936918
293,Danube River Plains,1,46.3108097,18.9257117
294,Kentucky,1,37.8393332,-84.2700179
295,Stirling,1,56.1165227,-3.9369029
296,Cyclades,1,37.1548247,25.0687356
297,Uruguay,1,-32.522779,-55.765835
298,Messinia,1,37.1424653,21.9522491
299,Ioannina,1,39.6650288,20.8537466
300,Sterea Ellada,1,38.6043984,22.7152131
301,Langenlois,1,48.4738543,15.6928431
302,Nemea,1,37.82133,22.660998
303,Zitsa,1,39.7546039,20.6494822
304,Vermont,1,44.5588028,-72.5778415
305,Overberg,1,-34.4897034,20.402376
306,Elim,1,35.4991043,-97.6374775
307,Ilias,1,37.676664,21.309942
308,Ilia,1,27.970447,-82.793558
309,Mátra,1,47.8833333,19.95
310,Casablanca & Leyda Valleys,1,33.5731104,-7.5898434
311,Tulbagh,1,-33.2872221,19.1434108
312,Slovenska Istra,1,45.2745018,13.8901858
313,Viile Carasului,1,37.676814,21.309765
314,Ukraine,1,48.379433,31.1655799
315,Colares,1,38.8066307,-9.4426867
316,Loncomilla Valley,1,-35.6778298,-71.7681764
317,Portuguese Table Wine,1,35.5155397,-82.5277432
318,Colchagua Costa,1,-34.5325061,-71.4129937
319,Lemnos,1,39.9198413,25.141484
320,Achaia,1,38.1158729,21.9522491
321,Pageon,1,40.39638,23.847252
322,Middle and South Dalmatia,1,43.880944,15.919306
323,Casablanca-Curicó Valley,1,-34.9779853,-71.2528803
324,Palmela,1,38.569441,-8.9016937
